track_id,artist_name,track_title,track_genre_top,track_genres_all,set_split
000777,Glove Compartment,Relaxing,Rock,Rock,training
000814,Hall Of Fame,Motion Passings,Folk,Folk,training
000821,Hecuba,Sir,Pop,Pop,training
000822,Hecuba,Tom & Jerry,Pop,Pop,training
000825,Here Comes A Big Black Cloud!!,Death March,Rock,"Psych-Rock, Indie-Rock, Rock, Loud-Rock",training
000853,Hutzl Ukranian Ensemble,Welsinsni Melodyi,International,International,training
000890,Ilyas Ahmed,Softly Tomorrow,Folk,"Free-Folk, Folk",test
000892,Ilyas Ahmed,Phantom Sky,Folk,"Free-Folk, Folk",test
000897,Infinite Body,02,Experimental,"Noise, Experimental",training
000993,Jad Fair and Jason Willett,Or So I've Been Told,Rock,Rock,validation
000995,Kevin Shields,No Good Deed Goes Unpunished,Experimental,"Noise, Experimental",training
000997,Kevin Shields,Nothing's Ever Ending,Experimental,"Noise, Experimental",training
000998,Kevin Shields,Apparently,Experimental,"Noise, Experimental",training
001039,Lightning Bolt,13 Monsters,Rock,"Loud-Rock, Rock, Noise-Rock",training
001040,Lightning Bolt,Dracula Mountain,Rock,"Loud-Rock, Rock, Noise-Rock",training
001066,Lucky Dragons,Helicopter de Cristal,Experimental,"Experimental, Audio Collage",test
001069,Lucky Dragons,Un Lagrima en la Discoteca,Experimental,"Experimental, Audio Collage",test
001073,Lucky Dragons,Onda Tocadisco,Experimental,"Experimental, Audio Collage",test
001075,Lucky Dragons,Painful Corazon,Experimental,"Experimental, Audio Collage",test
001082,M. Nguyen Van Minh-Con,Nam Nhi-tu,International,International,training
001083,Magic Lantern,Feasting on Energy,Experimental,"Avant-Garde, Experimental",training
001087,Mahjongg,Tell The Police The Truth,Rock,Rock,validation
001102,Mary Halvorson and Weasel Walter,Rare Vodka from the Fourteenth Century,Rock,Rock,training
001193,Mount Eerie,Wooly Mammoth's Absence,Folk,Folk,training
001195,Mount Eerie,With My Hands Out,Folk,Folk,training
001196,Mount Eerie,2 Blonde Braids,Folk,Folk,training
001197,Mount Eerie,My Burning,Folk,Folk,training
001249,Nautical Almanac,"""Cleanse Bath"" 10"" Metal Laquer",Experimental,"Noise, Experimental",test
001259,Nautical Almanac,Rolling In The Green,Experimental,"Noise, Experimental",test
001270,Necropolis,Cocksuckerbastardmotherfucker,Rock,"Punk, Rock",training
001276,Negativland,Richard Nixon Died Today,Experimental,"Experimental, Audio Collage",training
001277,Negativland,No Business,Experimental,"Experimental, Audio Collage",training
001278,Negativland,Downloading,Experimental,"Experimental, Audio Collage",training
001417,Pierced Arrows,Guns of Thunder,Rock,Rock,training
001427,Plastic Crimewave Sound,I Feel Evils,Rock,Rock,training
001443,Pocahaunted,Time Fist,Experimental,"Experimental, Drone",training
001482,Rainbro,Reindeer Dance,Electronic,Electronic,training
001510,Ric Royer &amp; G. Lucas Crane,Zombie,Experimental,"Noise, Experimental",training
001544,Samara Lubelski,Song of The Stations,Folk,"Psych-Folk, Folk",training
001642,So Cow,Hrz,Pop,Pop,training
001644,So Cow,Outskirts,Pop,Pop,training
001649,So Cow,Inis Meain,Pop,Pop,training
001661,So Cow,Only Fools and Horses Theme,Pop,Pop,training
001663,Softboiled Eggies,So High,Pop,Pop,training
001666,Softboiled Eggies,She Fell Through the Trees,Pop,Pop,training
001673,Solemn Man,Track 07,Experimental,"Experimental, Field Recordings",training
001680,The Sounds of Taraab,Bashraf Salama,International,International,training
001681,The Sounds of Taraab,Daka Kozi Manowe,International,International,training
001682,The Sounds of Taraab,Nie Zama Nie Sema,International,International,training
001683,The Sounds of Taraab,Mapenzi Matamu,International,International,training
001684,The Sounds of Taraab,Mahaba Wa Taka Nini,International,International,training
001685,The Sounds of Taraab,Eni Wana Damu,International,International,training
001686,The Sounds of Taraab,Rufiji,International,International,training
001687,The Sounds of Taraab,"Lala, Mpenzi Lala",International,International,training
001688,The Sounds of Taraab,Sishituki,International,International,training
001689,The Sounds of Taraab,Unalo,International,International,training
001701,Spires That in the Sunset Rise,Clouds,Folk,Folk,training
001702,Spires That in the Sunset Rise,Java Pop,Folk,Folk,training
001703,Spires That in the Sunset Rise,Equus Haar,Folk,Folk,training
001704,Spires That in the Sunset Rise,Morning Song,Folk,Folk,training
001706,Strapping Fieldhands,In the Pineys,Rock,Rock,training
001720,Sun Araw,Harken Sunshine,Rock,"Psych-Rock, Rock",training
001732,Teeth Mountain,Black Jerusalem,Experimental,Experimental,training
001733,Teeth Mountain,Keinsein,Experimental,Experimental,training
001735,Teeth Mountain,Ghost Science,Experimental,Experimental,training
001736,Teeth Mountain,Soft Beast,Experimental,Experimental,training
001883,The Yolks,I Do What I Do,Rock,Rock,training
001891,Thee Oh Sees,Kids In Cars,Rock,Rock,training
001893,Tommy Jay,Memories,Folk,Folk,validation
001924,The Twin Atlas,Calling For You,Folk,Folk,training
001925,The Twin Atlas,Happy At The Wheel,Folk,Folk,training
001929,U.S. Girls,Buzz Chant,Experimental,"Avant-Garde, Experimental",training
001930,Upsilon Acrux,So Thereby...and furthermore...thus henceforth...Mono,Rock,"Progressive, Rock",training
002012,White Mice,The White Mice,Experimental,"Noise, Experimental",validation
002096,Grouper,title unknown,Experimental,Experimental,training
002097,Hall Of Fame,My Sweet Miasma,Folk,Folk,training
002099,luc,....like bacon sundays,Pop,"Pop, Experimental Pop",training
003263,Ai Aso,A Date,Folk,Folk,validation
003264,Ai Aso,Tee Te Te,Folk,Folk,validation
003265,Ai Aso,Lavender,Folk,Folk,validation
003266,Ai Aso,Land,Folk,Folk,validation
003270,Arborea,Song for Obol,Folk,Folk,training
003271,Arborea,Beirut,Folk,Folk,training
003272,Arborea,Seadrift,Folk,Folk,training
003273,Arborea,Redbird,Folk,Folk,training
003274,Arborea,Forewarned,Folk,Folk,training
003492,Citay,On The Wings,Rock,Rock,training
003532,Cryptacize,Heaven Is Human,Pop,"Pop, Experimental Pop",training
003533,Cryptacize,New Spell,Pop,"Pop, Experimental Pop",training
003534,Cryptacize,Cosmic Sing-a-long,Pop,"Pop, Experimental Pop",training
003535,Cryptacize,No Coins,Pop,"Pop, Experimental Pop",training
003537,Cryptacize,We'll Never Dream Again,Pop,"Pop, Experimental Pop",training
003538,Cryptacize,Say You Will,Pop,"Pop, Experimental Pop",training
003573,Dan Deacon,Piggled,Electronic,Electronic,training
003598,Ed Askew,Little Eyes,Folk,Folk,training
003624,Fallen Leaves,Days of Summer,Rock,"Post-Punk, Rock, Punk",test
003707,Gary Higgins,Stable the Spuds,Folk,Folk,training
003708,Gary Higgins,Thicker Than A Smokey,Folk,Folk,training
003720,Indian Jewelry,Walking on the Water,Rock,"Psych-Rock, Loud-Rock, Rock, Noise-Rock",training
003721,Indian Jewelry,Pow Wow,Rock,"Psych-Rock, Loud-Rock, Rock, Noise-Rock",training
003722,Indian Jewelry,Swans,Rock,"Psych-Rock, Loud-Rock, Rock, Noise-Rock",training
003724,Indian Jewelry,Temporary Famine Ship,Rock,"Psych-Rock, Loud-Rock, Rock, Noise-Rock",training
003725,Indian Jewelry,West Alabama,Rock,"Psych-Rock, Loud-Rock, Rock, Noise-Rock",training
003761,Kinski,Improv,Rock,"Post-Rock, Rock",training
003762,Kinski,Snowy Parts of Scandinavia,Rock,"Post-Rock, Rock",training
003763,Kinski,Shelley Winters Overdrive,Rock,"Post-Rock, Rock",training
003765,Kinski,Waves of Second Guessing,Rock,"Post-Rock, Rock",training
003766,Kinski,Rhode Island Freakout,Rock,"Post-Rock, Rock",training
003775,La Troba Kung-Fu,Cumbia Infierno,International,"International, Polka, Latin America",training
003776,La Troba Kung-Fu,La Canco de Lladre,International,"International, Polka, Latin America",training
003777,La Troba Kung-Fu,Volant,International,"International, Polka, Latin America",training
003778,La Troba Kung-Fu,Calor Calor,International,"International, Polka, Latin America",training
003779,La Troba Kung-Fu,Rock Rumba,International,"International, Polka, Latin America",training
003832,Lior,Bedoin Song,Folk,Folk,training
003833,Lightning Bolt,Track 01,Rock,Rock,training
003840,Lightning Bolt,Track 08,Rock,Rock,training
003880,Mary Halvorson and Jessica Pavone,Crawling,Folk,Folk,training
003895,MetroFolk,Invitita and de Cingheri from Transylvania,International,"International, Balkan",training
003896,MetroFolk,Gypsy Csardas and Men's Dances from Kalotaszeg,International,"International, Balkan",training
003904,Michael Chapman,Sometimes,Folk,Folk,training
003905,Michael Chapman,Twisted Road,Folk,Folk,training
003906,Michael Chapman,Sometimes,Folk,Folk,training
003908,Michael Chapman,Caddo Lake,Folk,Folk,training
003909,Michael Chapman,Dewbury Road / That Time of Night,Folk,Folk,training
003910,Michael Chapman,Kodak Ghosts,Folk,Folk,training
003911,Michael Chapman,Dust Devils,Folk,Folk,training
003912,Michael Chapman,Fahey's Flag,Folk,Folk,training
003913,Michael Chapman,Memhpis in Winter,Folk,Folk,training
003920,Michael Holt,Fragrant Rota,Folk,Folk,training
003921,Michael Holt,Hiawatha's Lullaby,Folk,Folk,training
003950,Miss Derringer,Click Click Bang Bang,Rock,"Rock, Garage",training
004013,Nalle,Ravens,Folk,Folk,training
004017,Nalle,New Roots,Folk,Folk,training
004022,Negative Approach,Can't Tell No One,Rock,"Punk, Rock, Hardcore",validation
004037,Neil Halstead,Oh! Mighty Engine,Folk,"Folk, Singer-Songwriter",training
004066,Peter Walker,Soleade,Folk,"Psych-Folk, Folk",training
004067,Peter Walker,Por Rosa,Folk,"Psych-Folk, Folk",training
004068,Peter Walker,Alegrias Variation,Folk,"Psych-Folk, Folk",training
004069,Peter Walker,Tune on Karen Dalton's Guitar,Folk,"Psych-Folk, Folk",training
004070,Pistolera,Nuevos Ojos,International,"International, Latin America",training
004071,Pistolera,Mentirosas,International,"International, Latin America",training
004072,Pistolera,Tatuaje,International,"International, Latin America",training
004073,Pistolera,Policia,International,"International, Latin America",training
004074,Pistolera,Vieja,International,"International, Latin America",training
004075,Pistolera,Un Momento,International,"International, Latin America",training
004076,Pistolera,No te Olvidare,International,"International, Latin America",training
004077,Pistolera,Algo Pa que te Olvides,International,"International, Latin America",training
004078,Pistolera,No Suspires,International,"International, Latin America",training
004079,Pistolera,Extranjero,International,"International, Latin America",training
004080,Pistolera,Cazador,International,"International, Latin America",training
004091,Polka Madre,1864,International,"International, Polka, Balkan, Europe",training
004092,Polka Madre,Nina Olga Vodka,International,"International, Polka, Balkan, Europe",training
004093,Polka Madre,Amsterdam,International,"International, Polka, Balkan, Europe",training
004094,Polka Madre,Vida Propia,International,"International, Polka, Balkan, Europe",training
004095,Polka Madre,Funeral Brahms,International,"International, Polka, Balkan, Europe",training
004096,Polka Madre,La Fin Du Monde,International,"International, Polka, Balkan, Europe",training
004097,Polka Madre,Clammy Hands,International,"International, Polka, Balkan, Europe",training
004098,Polka Madre,Russo Trap,International,"International, Polka, Balkan, Europe",training
004099,Polka Madre,Stalin's Head,International,"International, Polka, Balkan, Europe",training
004100,Polka Madre,Gitanas Mojadas,International,"International, Polka, Balkan, Europe",training
004101,Polka Madre,Karjalainen Tanssi,International,"International, Polka, Balkan, Europe",training
004102,Polka Madre,Herasinkuoleena,International,"International, Polka, Balkan, Europe",training
004103,Polka Madre,Circo Del Siglo,International,"International, Polka, Balkan, Europe",training
004108,Psychedelic Horseshit,New Wave Hippies,Rock,Rock,test
004232,The Sounds of Taraab,Bowmazan Ya Mahaba  Bi Kidude song ,International,"International, African, Middle East",training
004233,The Sounds of Taraab,Interview,International,"International, African, Middle East",training
004234,The Sounds of Taraab,Mapenzi Matamu,International,"International, African, Middle East",training
004235,The Sounds of Taraab,Kanilemaza  Ikhwani Safaa,International,"International, African, Middle East",training
004236,The Sounds of Taraab,Enyi Wana Damu  Sharmila and Black Star Orchestra,International,"International, African, Middle East",training
004239,The Sounds of Taraab,Shishituki,International,"International, African, Middle East",training
004450,Twi the Humble Feather,Adventures of Castle One,Folk,Folk,training
004507,Yan Yalego,Mon Amant de St. Jean,International,"International, French",training
004508,Yan Yalego,Five Foot Two,International,"International, French",training
004509,Yan Yalego,Haricots,International,"International, French",training
004510,Yan Yalego,no title,International,"International, French",training
004511,Yan Yalego,Petit 'n Mwen,International,"International, French",training
004519,High Places,Golden,Electronic,Electronic,training
004520,High Places,From Stardust to Sentience,Electronic,Electronic,training
004521,High Places,Namer,Electronic,Electronic,training
004522,High Places,Oceanus,Electronic,Electronic,training
004682,Dälek,Asylum (Permanent Underclass),Hip-Hop,Hip-Hop,training
004684,Dälek,Eyes to Form Shadows,Hip-Hop,Hip-Hop,training
004685,Dälek,Ever Somber,Hip-Hop,Hip-Hop,training
004688,Dälek,Culture for Dollars,Hip-Hop,Hip-Hop,training
004777,Half Japanese,Firecracker,Rock,Rock,training
004778,Half Japanese,Too Much Fun,Rock,Rock,training
004779,Half Japanese,Secret Admirer,Rock,Rock,training
004780,Half Japanese,Too Much Adrenaline,Rock,Rock,training
004781,Half Japanese,No Big Deal,Rock,Rock,training
004782,Half Japanese,Thing With a Hook,Rock,Rock,training
004784,Half Japanese,Rosemary's Baby,Rock,Rock,training
004785,Half Japanese,I Know How It Feels...Bad,Rock,Rock,training
004786,Half Japanese,"1,000,000 Kisses",Rock,Rock,training
004787,Half Japanese,Nicole Told Me,Rock,Rock,training
004788,Half Japanese,Fire To Burn,Rock,Rock,training
004799,Harvey Milk,I've Got a Love,Rock,Rock,training
004835,Peelander-Z,Steak,Rock,Rock,training
004836,Peelander-Z,Panda Punk Tongue,Rock,Rock,training
004838,Peelander-Z,Punk Rock,Rock,Rock,training
004846,Mamak Khadem,Bistoon,International,"International, Middle East",training
004848,Mamak Khadem,(introduction),International,"International, Middle East",training
004849,Mamak Khadem,Avareh,International,"International, Middle East",training
005006,New Bomb Turks,"So Long, Silver Lining",Rock,"Punk, Rock, Garage",training
005156,Peter Biedermann,Circles,Folk,Folk,training
005157,Peter Biedermann,Copenhagen,Folk,Folk,training
005158,Peter Biedermann,Running,Folk,Folk,training
005159,Peter Biedermann,Christiania,Folk,Folk,training
005169,Peter Biedermann,The Uncommon Man,Folk,Folk,training
005170,Peter Biedermann,Labyrinth,Folk,Folk,training
005171,Peter Biedermann,Cover Up,Folk,Folk,training
005191,caUSE co-MOTION,Say What You Feel,Pop,Pop,validation
005264,Dälek,Classical Homicide,Hip-Hop,Hip-Hop,training
005268,Dälek,3 Rocks Blessed,Hip-Hop,Hip-Hop,training
005376,Mary Halvorson and Jessica Pavone,The Clouds,Folk,Folk,training
005381,Mary Halvorson and Jessica Pavone,Hartford,Folk,Folk,training
005521,The Apartment,alone now,Experimental,"Sound Collage, Experimental",training
005879,Bob Wiseman,Rock and Tree,Folk,"Folk, Freak-Folk",training
005936,Susanna,Traveling,Folk,"Folk, Singer-Songwriter",training
005940,Howard Fishman,When It Rains,Folk,"Folk, Singer-Songwriter",training
006329,Sheqer,Krivo Kopanitsa Horo,International,"International, Balkan",training
006330,The Sounds of Taraab,Nie Zama Nie Sema,International,"International, African",training
006331,Kavala Brass Band,track 1,International,"International, Balkan, Europe",validation
006332,Raya Brass Band,Taso's Hasapiko,International,"International, Balkan",training
006333,Scott Wilson & Efendi,track 01,International,"International, Balkan, Middle East",validation
006342,Zikrayat,Doulab Nahawand Murassaa,International,"International, Middle East",training
006354,The Sounds of Taraab,Daka Koz,International,"International, African",training
006357,Raya Brass Band,Zaharoula,International,"International, Balkan",training
006358,Kavala Brass Band,track 2,International,"International, Balkan, Europe",validation
006360,Orkestra Keyif,Sabah Sabah Seyredelim Yaliyi,International,"International, Balkan, Middle East",training
006363,Scott Wilson & Efendi,track 02,International,"International, Balkan, Middle East",validation
006366,Zikrayat,Taheya,International,"International, Middle East",training
006367,The Sounds of Taraab,"Manowe, Mahaba Wa Takanini, Mapenz",International,"International, African",training
006368,Kavala Brass Band,track 3,International,"International, Balkan, Europe",validation
006370,Raya Brass Band,Leventikos,International,"International, Balkan",training
006372,Scott Wilson & Efendi,track 03,International,"International, Balkan, Middle East",validation
006373,Orkestra Keyif,Semseyemin Ucu Kare with Oud Solo by Haig Manoukian,International,"International, Balkan, Middle East",training
006376,Kavala Brass Band,track 4,International,"International, Balkan, Europe",validation
006379,The Sounds of Taraab,Matamu Choz,International,"International, African",training
006380,Scott Wilson & Efendi,track 04,International,"International, Balkan, Middle East",validation
006381,Raya Brass Band,Kateva Lenko,International,"International, Balkan",training
006382,Sheqer,Svadbeni Cocek,International,"International, Balkan",training
006383,Orkestra Keyif,Telegrafin Tellerine,International,"International, Balkan, Middle East",training
006385,Scott Wilson & Efendi,track 05,International,"International, Balkan, Middle East",validation
006387,Raya Brass Band,Karsilamas Hrysodaktili,International,"International, Balkan",training
006389,The Sounds of Taraab,Kwala Ulala Huez,International,"International, African",training
006390,Kavala Brass Band,track 5,International,"International, Balkan, Europe",validation
006393,Zikrayat,Rumor,International,"International, Middle East",training
006394,Sheqer,Bufchansko,International,"International, Balkan",training
006396,Sheqer,Sarki,International,"International, Balkan",training
006406,MV + EE,The Hungry Stones,Folk,"Psych-Folk, Folk",training
006407,MV + EE,Huna Cosm,Folk,"Psych-Folk, Folk",training
006439,EPMD,Crossover,Hip-Hop,Hip-Hop,training
006440,EPMD,Rampage,Hip-Hop,Hip-Hop,training
006442,EPMD,Richter Scale,Hip-Hop,Hip-Hop,training
006443,EPMD,Music,Hip-Hop,Hip-Hop,training
006448,EPMD,Please Listen To My Demo,Hip-Hop,Hip-Hop,training
006459,Zikrayat,Ma Alli Wu Ultillu,International,"International, Middle East",training
006461,Matt Bauer,Florida Rain,Folk,Folk,validation
006463,Matt Bauer,Are You the One?,Folk,Folk,validation
006467,Matt Bauer,As She Came Out of  the Water,Folk,Folk,validation
006469,Orkestra Keyif,Derya'da Deryaliklar,International,"International, Balkan, Middle East",training
006517,Sakura Madams,Stars,Rock,Rock,training
006519,Sakura Madams,Somebody To Love,Rock,Rock,training
006603,Height With Friends,The Woods,Hip-Hop,Hip-Hop,training
006605,Height With Friends,Bad Weather,Hip-Hop,Hip-Hop,training
006606,Height With Friends,Smash Your Eyes,Hip-Hop,Hip-Hop,training
006607,Height With Friends,The World,Hip-Hop,Hip-Hop,training
006608,Height With Friends,Cavalcade Lagoons,Hip-Hop,Hip-Hop,training
006609,Height With Friends,2009,Hip-Hop,Hip-Hop,training
006610,Height With Friends,Clack Struck Twelve,Hip-Hop,Hip-Hop,training
006611,Height With Friends,Escape Tune,Hip-Hop,Hip-Hop,training
006674,Jarrod Fowler,Introduction: (Re)percussions,Experimental,"Noise, Experimental",training
006675,Jarrod Fowler,The End of Senseless Beating,Experimental,"Noise, Experimental",training
006677,Jarrod Fowler,Index,Experimental,"Noise, Experimental",training
006679,Jarrod Fowler,Different Strokes for Different Folks,Experimental,"Noise, Experimental",training
006680,Jarrod Fowler,Sound of the City:  A Musician is Being Beaten,Experimental,"Noise, Experimental",training
006684,Jarrod Fowler,Preface,Experimental,"Noise, Experimental",training
006762,Matt Bauer,Western States,Folk,Folk,validation
006776,Japanische Kampfhorspiele,Abflussbestattung / Verrat Am Metal,Rock,"Rock, Death-Metal, Metal",training
006778,Japanische Kampfhorspiele,Dresscode,Rock,"Rock, Death-Metal, Metal",training
006779,Cath and Phil Tyler,Castle By the Sea,Folk,Folk,validation
006782,Cath and Phil Tyler,Sunshine,Folk,Folk,validation
006783,Cath and Phil Tyler,Fisherman's Girl,Folk,Folk,validation
006788,Peelander-Z,Tokugiri Star,Rock,Rock,training
006802,Watcha Clan,Spanish Civil War Tribute,International,International,training
006803,Watcha Clan,Balkan Qoulou,International,International,training
006854,Lior,Lost in Your,Folk,Folk,training
006855,Lior,This Old Love,Folk,Folk,training
006856,Lior,Autumn Flow,Folk,Folk,training
006857,MV + EE and Willie Lane,Drone Trailer,Folk,"Psych-Folk, Folk",training
007011,junior85,in sleepy electricity,Electronic,Electronic,validation
007373,Lucky Dragons,heartbreaker,Experimental,"Experimental, Audio Collage",test
007374,Lucky Dragons,new homes,Experimental,"Experimental, Audio Collage",test
007375,Lucky Dragons,cherchez le dragon,Experimental,"Experimental, Audio Collage",test
007376,Lucky Dragons,about peter,Experimental,"Experimental, Audio Collage",test
007377,Lucky Dragons,with new trees,Experimental,"Experimental, Audio Collage",test
007378,Lucky Dragons,resurrect dead on planet jupiter,Experimental,"Experimental, Audio Collage",test
007379,Lucky Dragons,it's hard to fall asleep,Experimental,"Experimental, Audio Collage",test
007381,Lucky Dragons,i'd play at the rotunda,Experimental,"Experimental, Audio Collage",test
007383,Lucky Dragons,i hear horrible music,Experimental,"Experimental, Audio Collage",test
007385,Lucky Dragons,my imaginary scary home,Experimental,"Experimental, Audio Collage",test
007386,Lucky Dragons,its hard to wake up,Experimental,"Experimental, Audio Collage",test
007388,Lucky Dragons,girlworld (3 in a bed mix),Experimental,"Experimental, Audio Collage",test
007391,Lucky Dragons,all these wires between us,Experimental,"Experimental, Audio Collage",test
007393,Lucky Dragons,leaving things as they are,Experimental,"Experimental, Audio Collage",test
007481,BrokeMC,Seeing You Out,Hip-Hop,Hip-Hop,training
007482,BrokeMC,Seeing Things Intro,Hip-Hop,Hip-Hop,training
007483,BrokeMC,Doom Days,Hip-Hop,Hip-Hop,training
007487,BrokeMC,The Robot's Heel,Hip-Hop,Hip-Hop,training
007488,BrokeMC,The Discovery,Hip-Hop,Hip-Hop,training
007489,BrokeMC,Too Much to deal with,Hip-Hop,Hip-Hop,training
007490,BrokeMC,Follow That,Hip-Hop,Hip-Hop,training
007491,BrokeMC,broke Pimpin,Hip-Hop,Hip-Hop,training
007492,BrokeMC,In the Dark,Hip-Hop,Hip-Hop,training
007495,Homosexuals,Soft South Africans,Rock,"Post-Punk, Rock, Punk",training
007526,Monk Turner,Easy on the Eyes,Pop,Pop,training
007527,Monk Turner,With You,Pop,Pop,training
007528,Monk Turner,Game,Pop,Pop,training
007529,Monk Turner,Seeking,Pop,Pop,training
007548,Z'EV,First Movement,Experimental,"Avant-Garde, Experimental",training
007554,Z'EV,Seventh Movement,Experimental,"Avant-Garde, Experimental",training
007709,Mia Doi Todd,Deep At Sea,Folk,"Folk, Singer-Songwriter",training
007710,Mia Doi Todd,What If We Do,Folk,"Folk, Singer-Songwriter",training
007711,Mia Doi Todd,The Way,Folk,"Folk, Singer-Songwriter",training
007712,Mia Doi Todd,My Room Is White,Folk,"Folk, Singer-Songwriter",training
007713,Mia Doi Todd,I gave you my home,Folk,"Folk, Singer-Songwriter",training
007872,Boss Hog,Saved,Rock,"Punk, Rock",training
008056,The Dirtbombs,Get It While You Can,Rock,"Rock, Garage",training
008208,Alan Vega & Oneida,Rocket USA,Rock,Rock,training
008256,Curtis Eller,Sugar In My Coffin,Folk,Folk,training
008259,Curtis Eller,Always Sugar for the Horses,Folk,Folk,training
008261,Curtis Eller,Black Diamond,Folk,Folk,training
008345,Walter,Walter,Experimental,"Experimental, Audio Collage",training
008357,Free Matter for the Blind,Promocja Belkot radio commercial,Experimental,"Avant-Garde, Experimental, Audio Collage",training
008363,Free Matter for the Blind,"Outside of fashion boutique, Xian, China",Experimental,"Avant-Garde, Experimental, Audio Collage",training
008372,Dirty White Boy,variations on Foreigners,Experimental,"Experimental, Audio Collage",training
008416,Taal,Track 33,Experimental,"Experimental, Audio Collage",training
009152,dj smallcock,1991,Experimental,"Noise, Avant-Garde, Experimental",training
009155,Peeled Hearts Paste,Tossypot,Experimental,"Noise, Experimental",test
009307,Kitty Kadoogal,Racing Past the Zenith,Experimental,"Noise, Experimental",training
009476,A Kombi,Plight Of The Bumblebee,Experimental,"Experimental, Noise, Field Recordings",training
009477,Justice Yeldham,Colour Me Your Colour,Experimental,"Noise, Avant-Garde, Experimental",training
009491,Toxic Lipstick,Rape Me,Rock,"Electro-Punk, Punk, Rock",training
009505,Justice Yeldham,168 Toronto 260305,Experimental,"Noise, Avant-Garde, Experimental",training
009511,Sic Alps,Message From the Law,Rock,"Psych-Rock, Rock, Garage",training
009512,Getatchew Mekuria &amp; The Ex &amp; Guests,Eywat Setenafegagn,International,International,training
009513,Old Time Relijun,Cold Water,Rock,"Progressive, Krautrock, Rock, Post-Punk, Punk",training
009550,Kristin Hersh,Slippershell,Rock,Rock,validation
009553,Kristin Hersh,Morning Birds,Rock,Rock,validation
009555,Kristin Hersh,Krait,Rock,Rock,validation
009557,Kristin Hersh,Moan,Rock,Rock,validation
009559,Kristin Hersh,Mississippi Kite,Rock,Rock,validation
009560,Kristin Hersh,Fortune,Rock,Rock,validation
009678,Volvox,Riboflavin Horror,Experimental,"Unclassifiable, Experimental",training
009721,Justice Yeldham,Track 01,Experimental,"Noise, Avant-Garde, Experimental",training
009846,Mattin,Computer Music/Post-Fordism,Experimental,"Noise, Avant-Garde, Experimental",training
009887,Meg Baird,All I Ever Wanted,Folk,Folk,training
009888,James Blackshaw,Cross,Folk,Folk,training
